,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
152,54.0,4.0,21.0,5.0,230.0,northern_america,12.0,40.0,1.0,1.0
153,30.0,1.0,21.0,5.0,440.0,south_eastern_asia,0.0,40.0,1.0,9.0
154,23.0,1.0,18.0,5.0,3620.0,northern_america,2.0,38.0,2.0,1.0
155,59.0,1.0,15.0,1.0,8320.0,south_eastern_asia,1.0,20.0,2.0,6.0
156,64.0,1.0,22.0,1.0,10.0,northern_america,1.0,40.0,1.0,1.0
157,49.0,1.0,16.0,1.0,530.0,northern_america,1.0,40.0,2.0,1.0
158,46.0,3.0,19.0,1.0,2862.0,northern_america,1.0,40.0,2.0,1.0
159,20.0,1.0,19.0,5.0,4020.0,northern_america,2.0,15.0,1.0,1.0
160,25.0,1.0,21.0,5.0,1021.0,northern_america,12.0,40.0,1.0,6.0
161,53.0,1.0,22.0,1.0,2752.0,northern_america,1.0,20.0,2.0,1.0
162,49.0,1.0,15.0,1.0,9620.0,latin_america,1.0,40.0,2.0,8.0
163,20.0,1.0,16.0,5.0,9610.0,northern_america,7.0,20.0,1.0,1.0
164,38.0,1.0,16.0,5.0,5120.0,northern_america,0.0,40.0,2.0,6.0
165,42.0,1.0,15.0,1.0,4030.0,latin_america,0.0,40.0,2.0,1.0
166,36.0,1.0,21.0,1.0,440.0,northern_america,1.0,40.0,1.0,6.0
167,63.0,1.0,22.0,1.0,1320.0,northern_europe,0.0,50.0,1.0,1.0
168,23.0,1.0,16.0,1.0,6260.0,oceania,12.0,60.0,1.0,7.0
169,21.0,1.0,19.0,5.0,4720.0,latin_america,11.0,20.0,2.0,1.0
170,20.0,1.0,16.0,5.0,4030.0,northern_america,2.0,25.0,2.0,1.0
171,51.0,6.0,16.0,1.0,4200.0,northern_america,1.0,40.0,2.0,1.0
172,29.0,1.0,18.0,1.0,735.0,northern_america,1.0,40.0,2.0,1.0
173,60.0,1.0,17.0,1.0,5240.0,eastern_asia,1.0,40.0,2.0,6.0
174,63.0,6.0,18.0,1.0,4710.0,northern_america,1.0,40.0,1.0,8.0
175,24.0,2.0,18.0,5.0,3500.0,northern_america,0.0,40.0,2.0,1.0
176,55.0,2.0,20.0,1.0,3220.0,south_eastern_asia,1.0,36.0,2.0,6.0
177,56.0,5.0,18.0,3.0,930.0,northern_america,0.0,40.0,2.0,1.0
178,67.0,1.0,19.0,1.0,5000.0,northern_america,1.0,40.0,1.0,1.0
179,22.0,1.0,19.0,5.0,9130.0,northern_america,17.0,8.0,1.0,1.0
180,21.0,1.0,21.0,5.0,2830.0,northern_america,0.0,30.0,1.0,1.0
181,26.0,6.0,19.0,4.0,4600.0,latin_america,0.0,36.0,2.0,1.0
182,42.0,7.0,21.0,1.0,1108.0,northern_america,0.0,30.0,1.0,6.0
183,76.0,1.0,21.0,1.0,800.0,earthern_europe,1.0,20.0,1.0,1.0
184,44.0,1.0,19.0,1.0,5400.0,northern_america,0.0,38.0,2.0,1.0
185,57.0,4.0,21.0,3.0,5420.0,northern_america,0.0,40.0,2.0,1.0
186,40.0,1.0,21.0,1.0,6660.0,northern_america,0.0,60.0,1.0,1.0
187,49.0,1.0,11.0,5.0,6515.0,northern_america,5.0,40.0,1.0,1.0
188,40.0,1.0,1.0,1.0,7220.0,latin_america,1.0,40.0,1.0,1.0
189,24.0,1.0,16.0,5.0,4510.0,northern_america,2.0,30.0,2.0,1.0
190,57.0,1.0,21.0,1.0,440.0,northern_america,1.0,65.0,1.0,1.0
191,48.0,3.0,22.0,5.0,440.0,northern_america,0.0,40.0,1.0,3.0
192,18.0,2.0,18.0,5.0,4600.0,northern_america,17.0,15.0,2.0,9.0
193,27.0,1.0,16.0,5.0,4020.0,latin_america,0.0,40.0,1.0,8.0
194,21.0,1.0,19.0,5.0,4700.0,northern_america,2.0,30.0,1.0,2.0
195,47.0,6.0,21.0,1.0,5940.0,northern_america,0.0,1.0,2.0,1.0
196,46.0,1.0,22.0,3.0,4850.0,south_central_asia,0.0,60.0,2.0,1.0
197,24.0,4.0,16.0,5.0,3602.0,northern_america,2.0,60.0,2.0,1.0
198,32.0,7.0,21.0,1.0,10.0,northern_america,0.0,20.0,2.0,9.0
199,40.0,1.0,24.0,1.0,1021.0,south_central_asia,1.0,40.0,2.0,6.0
200,55.0,2.0,1.0,1.0,4230.0,latin_america,6.0,35.0,2.0,1.0
201,37.0,1.0,19.0,3.0,4710.0,northern_america,0.0,43.0,2.0,9.0
202,47.0,1.0,19.0,1.0,1430.0,northern_america,1.0,40.0,1.0,1.0
203,47.0,7.0,21.0,1.0,136.0,northern_america,0.0,50.0,1.0,1.0
204,44.0,7.0,16.0,1.0,4760.0,western_asia,0.0,84.0,1.0,1.0
205,53.0,1.0,18.0,3.0,5860.0,northern_america,0.0,40.0,2.0,1.0
206,33.0,1.0,19.0,5.0,2002.0,northern_america,0.0,35.0,2.0,1.0
207,63.0,1.0,21.0,1.0,4030.0,eastern_asia,0.0,40.0,2.0,6.0
208,34.0,5.0,21.0,1.0,800.0,south_central_asia,0.0,40.0,1.0,6.0
209,37.0,1.0,21.0,1.0,4110.0,northern_america,0.0,29.0,2.0,1.0
210,23.0,1.0,21.0,5.0,8740.0,northern_america,2.0,40.0,1.0,6.0
211,22.0,1.0,21.0,5.0,6040.0,latin_america,2.0,40.0,2.0,8.0
212,33.0,1.0,21.0,1.0,1545.0,southern_europe,1.0,50.0,1.0,1.0
213,54.0,1.0,18.0,1.0,310.0,latin_america,1.0,40.0,2.0,1.0
214,44.0,7.0,24.0,1.0,2100.0,northern_america,1.0,55.0,1.0,1.0
215,73.0,3.0,22.0,1.0,2310.0,northern_america,0.0,20.0,2.0,1.0
216,59.0,6.0,24.0,5.0,9142.0,northern_america,13.0,8.0,1.0,1.0
217,67.0,7.0,19.0,1.0,4251.0,south_eastern_asia,0.0,20.0,1.0,6.0
218,59.0,1.0,19.0,1.0,5160.0,northern_america,1.0,20.0,1.0,6.0
219,53.0,1.0,19.0,1.0,5240.0,latin_america,0.0,24.0,2.0,1.0
220,57.0,1.0,21.0,1.0,5000.0,northern_america,0.0,50.0,1.0,1.0
221,63.0,2.0,22.0,1.0,2751.0,northern_america,1.0,30.0,2.0,1.0
222,43.0,1.0,19.0,1.0,6050.0,latin_america,10.0,55.0,1.0,1.0
223,44.0,1.0,16.0,1.0,4655.0,latin_america,0.0,60.0,1.0,1.0
224,36.0,1.0,20.0,3.0,3300.0,northern_america,2.0,40.0,2.0,1.0
225,24.0,1.0,21.0,5.0,4120.0,northern_america,11.0,40.0,2.0,1.0
226,53.0,1.0,16.0,3.0,5860.0,eastern_asia,0.0,40.0,2.0,6.0
227,46.0,6.0,20.0,1.0,7010.0,south_central_asia,0.0,45.0,1.0,6.0
228,51.0,1.0,19.0,5.0,2310.0,northern_america,0.0,30.0,2.0,1.0
229,59.0,1.0,18.0,1.0,9130.0,northern_america,0.0,60.0,1.0,1.0
230,48.0,1.0,22.0,1.0,705.0,northern_america,1.0,50.0,2.0,6.0
231,53.0,1.0,23.0,5.0,9130.0,northern_america,11.0,48.0,1.0,2.0
232,33.0,1.0,22.0,1.0,1006.0,south_eastern_asia,0.0,40.0,1.0,6.0
233,27.0,1.0,16.0,1.0,6050.0,latin_america,0.0,48.0,1.0,8.0
234,49.0,6.0,22.0,1.0,4621.0,northern_america,0.0,25.0,1.0,1.0
235,29.0,1.0,21.0,5.0,1021.0,northern_america,0.0,50.0,1.0,6.0
236,51.0,1.0,15.0,1.0,4220.0,latin_america,0.0,40.0,1.0,8.0
237,56.0,1.0,16.0,1.0,9645.0,northern_america,1.0,40.0,1.0,1.0
238,53.0,1.0,21.0,1.0,1340.0,south_eastern_asia,0.0,40.0,1.0,6.0
239,33.0,1.0,21.0,1.0,4840.0,northern_america,1.0,60.0,1.0,1.0
240,27.0,2.0,1.0,5.0,630.0,northern_america,17.0,20.0,1.0,1.0
241,30.0,5.0,16.0,5.0,5540.0,northern_america,0.0,40.0,2.0,2.0
242,58.0,6.0,20.0,1.0,7830.0,latin_america,1.0,9.0,1.0,8.0
243,46.0,1.0,1.0,1.0,7750.0,latin_america,6.0,40.0,2.0,1.0
244,26.0,7.0,21.0,5.0,4965.0,northern_america,0.0,45.0,1.0,1.0
245,33.0,1.0,21.0,5.0,3402.0,earthern_europe,5.0,30.0,2.0,1.0
246,31.0,2.0,21.0,5.0,4350.0,northern_america,4.0,50.0,2.0,1.0
247,26.0,1.0,20.0,5.0,5160.0,northern_america,2.0,30.0,2.0,6.0
248,69.0,7.0,23.0,1.0,410.0,northern_america,1.0,40.0,1.0,1.0
249,62.0,1.0,20.0,1.0,8740.0,earthern_europe,0.0,40.0,1.0,1.0
250,35.0,2.0,23.0,1.0,3090.0,northern_america,0.0,70.0,2.0,6.0
251,24.0,1.0,21.0,1.0,2722.0,northern_america,1.0,25.0,1.0,1.0
252,62.0,1.0,18.0,1.0,5120.0,northern_america,0.0,40.0,2.0,1.0
253,64.0,1.0,16.0,1.0,5120.0,eastern_asia,1.0,40.0,2.0,6.0
254,47.0,1.0,19.0,1.0,440.0,northern_america,1.0,70.0,2.0,1.0
255,38.0,6.0,16.0,5.0,6260.0,latin_america,13.0,40.0,1.0,1.0
256,47.0,2.0,16.0,1.0,2360.0,northern_america,1.0,40.0,2.0,1.0
257,31.0,1.0,21.0,1.0,1021.0,northern_america,0.0,45.0,1.0,1.0
258,22.0,1.0,9.0,5.0,4950.0,latin_america,12.0,20.0,2.0,8.0
259,31.0,1.0,24.0,5.0,1760.0,northern_america,12.0,55.0,1.0,9.0
260,47.0,1.0,15.0,1.0,9640.0,latin_america,1.0,40.0,2.0,8.0
261,18.0,1.0,16.0,5.0,4760.0,latin_america,11.0,30.0,1.0,8.0
262,41.0,1.0,20.0,1.0,2145.0,northern_america,0.0,40.0,2.0,1.0
263,63.0,1.0,19.0,1.0,5120.0,northern_america,1.0,20.0,2.0,1.0
264,24.0,1.0,14.0,5.0,7750.0,latin_america,0.0,40.0,2.0,1.0
265,53.0,1.0,19.0,5.0,8910.0,northern_america,2.0,40.0,1.0,1.0
266,33.0,6.0,20.0,5.0,9130.0,northern_america,12.0,60.0,1.0,1.0
267,26.0,1.0,19.0,5.0,6200.0,northern_america,0.0,40.0,1.0,1.0
268,22.0,1.0,16.0,5.0,6260.0,northern_america,2.0,40.0,1.0,3.0
269,58.0,1.0,9.0,1.0,4230.0,latin_america,1.0,40.0,2.0,1.0
270,59.0,1.0,19.0,3.0,4700.0,latin_america,6.0,40.0,2.0,8.0
271,56.0,1.0,21.0,1.0,20.0,northern_america,0.0,40.0,1.0,1.0
272,71.0,1.0,19.0,1.0,7540.0,south_eastern_asia,0.0,40.0,1.0,6.0
273,55.0,4.0,24.0,1.0,2205.0,northern_america,0.0,40.0,2.0,1.0
274,42.0,1.0,21.0,3.0,110.0,western_asia,0.0,60.0,1.0,1.0
275,27.0,6.0,19.0,5.0,4350.0,northern_america,2.0,8.0,1.0,1.0
276,53.0,2.0,21.0,1.0,2320.0,northern_america,2.0,40.0,2.0,1.0
277,34.0,3.0,21.0,1.0,1840.0,northern_america,9.0,40.0,1.0,1.0
278,50.0,1.0,17.0,1.0,4251.0,northern_america,0.0,40.0,1.0,1.0
279,68.0,1.0,22.0,3.0,1530.0,northern_america,0.0,40.0,1.0,1.0
280,50.0,1.0,20.0,1.0,4700.0,northern_america,0.0,60.0,2.0,1.0
281,32.0,3.0,21.0,3.0,230.0,northern_america,0.0,30.0,2.0,1.0
282,30.0,3.0,18.0,1.0,9121.0,northern_america,1.0,36.0,1.0,1.0
283,18.0,1.0,16.0,5.0,5610.0,northern_america,2.0,99.0,2.0,1.0
284,18.0,1.0,18.0,5.0,5240.0,northern_america,10.0,30.0,2.0,9.0
285,22.0,1.0,16.0,5.0,4720.0,northern_america,2.0,30.0,2.0,6.0
286,19.0,1.0,16.0,5.0,5522.0,northern_america,2.0,20.0,2.0,1.0
287,42.0,1.0,16.0,1.0,1021.0,earthern_europe,0.0,40.0,1.0,1.0
288,23.0,1.0,16.0,1.0,9600.0,northern_america,2.0,40.0,2.0,1.0
289,54.0,1.0,16.0,1.0,9620.0,latin_america,1.0,52.0,1.0,8.0
290,26.0,1.0,11.0,5.0,4760.0,latin_america,2.0,40.0,1.0,8.0
291,47.0,1.0,22.0,1.0,440.0,northern_america,1.0,40.0,2.0,1.0
292,36.0,1.0,22.0,1.0,140.0,northern_america,0.0,60.0,1.0,1.0
293,20.0,1.0,16.0,5.0,4720.0,northern_america,2.0,40.0,2.0,8.0
294,29.0,1.0,16.0,5.0,6050.0,northern_america,13.0,40.0,1.0,8.0
295,61.0,6.0,20.0,1.0,220.0,western_europe,0.0,4.0,1.0,1.0
296,60.0,8.0,19.0,5.0,960.0,northern_america,6.0,40.0,1.0,1.0
297,28.0,1.0,16.0,5.0,4020.0,northern_america,0.0,20.0,1.0,1.0
298,57.0,1.0,16.0,1.0,6355.0,northern_america,1.0,40.0,1.0,1.0
299,43.0,3.0,21.0,1.0,2310.0,latin_america,0.0,40.0,1.0,8.0
300,38.0,3.0,13.0,1.0,4600.0,northern_america,1.0,20.0,2.0,1.0
301,23.0,1.0,19.0,5.0,4760.0,northern_america,17.0,10.0,2.0,1.0
302,50.0,1.0,23.0,1.0,2100.0,northern_america,0.0,45.0,2.0,1.0
303,61.0,1.0,16.0,1.0,9130.0,northern_america,1.0,45.0,1.0,1.0
304,58.0,5.0,20.0,3.0,440.0,northern_america,0.0,40.0,2.0,1.0
305,26.0,2.0,21.0,5.0,630.0,northern_america,2.0,40.0,2.0,1.0
306,37.0,1.0,19.0,5.0,9645.0,northern_america,0.0,40.0,1.0,2.0
307,49.0,4.0,22.0,1.0,2320.0,northern_america,0.0,40.0,1.0,9.0
308,31.0,1.0,16.0,1.0,8600.0,northern_america,1.0,63.0,1.0,1.0
309,25.0,1.0,21.0,5.0,4622.0,northern_america,0.0,30.0,2.0,6.0
310,20.0,1.0,19.0,5.0,5400.0,northern_america,17.0,15.0,1.0,1.0
311,21.0,4.0,20.0,5.0,3740.0,northern_america,2.0,20.0,1.0,9.0
312,62.0,2.0,20.0,3.0,3323.0,northern_america,0.0,4.0,2.0,1.0
313,27.0,1.0,19.0,1.0,3640.0,northern_america,0.0,25.0,2.0,1.0
314,35.0,1.0,21.0,1.0,1555.0,eastern_asia,1.0,40.0,1.0,9.0
